TOYOTA,Innova,SZ,2012,CG04LS7033,TRUE,TRUE,BOSTON,4,4.00
TOYOTA,Fortuner,FX,2013,DL04K876,TRUE,TRUE,BOSTON,6,6.00
TOYOTA,Innova,UL,2013,CG04LS7033,TRUE,TRUE,BOSTON,4,4.00
TOYOTA,Innova,ZX,2014,MB04LS7034,TRUE,TRUE,BOSTON,6,6.00
BMW,320D,SZ,2014,TU04LS7035,TRUE,TRUE,BOSTON,6,6.00
BMW,360E,ZX,2015,TR04LS7036,TRUE,TRUE,BOSTON,4,4.00
BMW,320D,ZX,2017,DL04LS7037,TRUE,TRUE,BOSTON,4,4.00
BMW,310F,FX,2021,DF04LS7038,TRUE,FALSE,BOSTON,2,2.00
MERCEDES,eclass,UL,2019,SX04LS7039,TRUE,FALSE,BOSTON,4,4.00
MERCEDES,cclass,FX,2013,PI78LS7040,TRUE,FALSE,CAMBRIDGE,6,6.00
MERCEDES,eclass,SZ,2021,WE32LS7041,TRUE,FALSE,CAMBRIDGE,4,4.00
AUDI,R8,ZX,2010,AS32LS7042,TRUE,FALSE,CAMBRIDGE,4,4.00
AUDI,A6,ZX,2020,PI78LS7043,TRUE,FALSE,CAMBRIDGE,4,4.00
AUDI,A7,FX,2018,PI78LS7044,TRUE,FALSE,CAMBRIDGE,4,4.00
AUDI,A8,UL,2015,PI78LS7045,TRUE,FALSE,CAMBRIDGE,4,4.00
MAZDA,cx5,FX,2012,PI78LS7046,TRUE,FALSE,CAMBRIDGE,2,2.00
MAZDA,cx7,ZX,2011,PI78LS7047,TRUE,FALSE,CAMBRIDGE,4,4.00
MAZDA,cx5,FX,2019,PI78LS7048,TRUE,FALSE,BRAINTREE,4,4.00
MITSUBISHI,LANCER,UL,2012,PI78LS7049,TRUE,FALSE,BRAINTREE,4,4.00
MITSUBISHI,Outlander,FX,2011,PI78LS7050,TRUE,FALSE,BRAINTREE,4,4.00
TOYOTA,Fortuner,TV,2013,PI78LS7051,TRUE,FALSE,BRAINTREE,4,4.00
TOYOTA,Corolla,ZX,2015,PI78LS7052,TRUE,FALSE,BRAINTREE,6,6.00
TOYOTA,Corolla,ZX,2014,PI78LS7053,TRUE,FALSE,BRAINTREE,4,4.00
TOYOTA,Corolla,FX,2020,PI78LS7054,TRUE,FALSE,BRAINTREE,6,6.00
BMW,320D,FX,2014,DL04K877,TRUE,FALSE,BRAINTREE,6,6.00
BMW,360E,UL,2021,DL04K878,TRUE,TRUE,WALTHAM,4,4.00
BMW,320D,FX,2020,DL04K879,TRUE,TRUE,WALTHAM,4,4.00
BMW,310F,TV,2017,DL04K880,TRUE,TRUE,WALTHAM,2,2.00
MERCEDES,cclass,ZX,2016,DL04K881,FALSE,TRUE,WALTHAM,4,4.00
MERCEDES,eclass,ZX,2012,DL04K882,FALSE,TRUE,WALTHAM,6,6.00
MERCEDES,cclass,SZ,2013,DL04K883,FALSE,TRUE,WALTHAM,4,4.00
AUDI,A6,UL,2014,DL04K884,FALSE,TRUE,WALTHAM,4,4.00
AUDI,A7,SZ,2009,DL04K885,FALSE,TRUE,WALTHAM,4,4.00
AUDI,A8,ZX,2008,DL04K886,FALSE,TRUE,WORCHESTER,4,4.00
AUDI,R8,ZX,2019,DL04K887,FALSE,TRUE,WORCHESTER,4,4.00
MAZDA,cx7,FX,2013,WE32LS7042,FALSE,TRUE,WORCHESTER,2,2.00
MAZDA,cx7,UL,2010,WE32LS7043,FALSE,TRUE,WORCHESTER,4,4.00
MAZDA,cx5,FX,2021,WE32LS7044,FALSE,TRUE,WORCHESTER,4,4.00
MITSUBISHI,LANCER,UL,2020,WE32LS7045,FALSE,TRUE,WORCHESTER,4,4.00
MITSUBISHI,Outlander,SZ,2016,WE32LS7046,FALSE,Y,WORCHESTER,4,4.00
